Country,id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,wikipedia_bio
fr,Q157,François,Hollande,1954-08-12,,Rouen,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hollande,2012-05-15,2017-05-14,"François Hollande , né le 12 août 1954 à Rouen (Seine-Inférieure), est un haut fonctionnaire et homme d'État français. Il est président de la République française du 15 mai 2012 au 14 mai 2017."
fr,Q329,Nicolas,Sarkozy,1955-01-28,,Paris,https://fr.wikipedia.org/wiki/Nicolas_Sarkozy,2007-05-16,2012-05-15,"Nicolas Sarközy de Nagy-Bocsa, dit Nicolas Sarkozy , né le 28 janvier 1955 à Paris17e (Seine), est un homme d'État français. Il est président de la République française du 16 mai 2007 au 15 mai 2012."
fr,Q2038,François,Mitterrand,1916-10-26,1996-01-08,Jarnac,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand,1981-05-21,1995-05-17,"François Mitterrand , né le 26 octobre 1916 à Jarnac (Charente) et mort le 8 janvier 1996 dans le 7earrondissement de Paris, est un homme d'État français. Il est président de la République française du 21 mai 1981 au 17 mai 1995."
fr,Q2042,Charles,de Gaulle,1890-11-22,1970-11-09,Lille,https://fr.wikipedia.org/wiki/Charles_de_Gaulle,1959-01-08,1969-04-28,"Charles de Gaulle , couramment appelé le général de Gaulle ou simplement le Général, né le 22 novembre 1890 à Lille (Nord) et mort le 9 novembre 1970 à Colombey-les-Deux-Églises (Haute-Marne), est un militaire, résistant, homme d'État et écrivain français. Pendant la Seconde Guerre mondiale, Charles de Gaulle a fondé la France libre; à la Libération, il préside le gouvernement provisoire à partir de 1944 jusqu'en 1946. Instigateur de la VeRépublique, il en a été le premier président du 8 janvier 1959 au 28 avril 1969."
fr,Q2105,Jacques,Chirac,1932-11-29,2019-09-26,5th arrondissement of Paris,https://fr.wikipedia.org/wiki/Jacques_Chirac,1995-05-17,2007-05-16,"Jacques Chirac , né le 29 novembre 1932 dans le 5earrondissement de Paris et mort le 26 septembre 2019 dans le 6earrondissement de la même ville, est un homme d'État français. Il est Premier ministre du 27 mai 1974 au 25 août 1976 et du 20 mars 1986 au 10 mai 1988, et président de la République française du 17 mai 1995 au 16 mai 2007."
fr,Q2124,Valéry,Giscard d'Estaing,1926-02-02,2020-12-02,Koblenz,https://fr.wikipedia.org/wiki/Val%C3%A9ry_Giscard_d%27Estaing,1974-05-27,1981-05-21,"«Giscard» et «VGE» redirigent ici. Pour les autres significations, voir Giscard (homonymie) et VGE (homonymie)."
fr,Q2185,Georges,Pompidou,1911-07-05,1974-04-02,Montboudif,https://fr.wikipedia.org/wiki/Georges_Pompidou,1969-06-20,1974-04-02,"Georges Pompidou , né le 5 juillet 1911 à Montboudif (Cantal) et mort le 2 avril 1974 dans le 4earrondissement de Paris, est un homme d'État français. Il est Premier ministre du 14 avril 1962 au 10 juillet 1968 et président de la République française du 20 juin 1969 jusqu'à sa mort."
fr,Q5738,Adolphe,Thiers,1797-04-15,1877-09-03,Marseille,https://fr.wikipedia.org/wiki/Adolphe_Thiers,1871-08-31,1873-05-24,"Adolphe Thiers, né le 15 avril 1797 (26 germinal an V) à Marseille (Bouches-du-Rhône) et mort le 3 septembre 1877 à Saint-Germain-en-Laye (Seine-et-Oise), est un avocat, journaliste, historien et homme d'État français."
fr,Q7721,Napoléon,Bonaparte,1808-04-20,1873-01-09,Paris,https://fr.wikipedia.org/wiki/Napol%C3%A9on_III,1848-12-20,1852-12-02,"Pour les articles homonymes, voir Louis-Napoléon Bonaparte (homonymie), Napoléon (homonymie) et Bonaparte (homonymie)."
fr,Q12680,Paul,Doumer,1857-03-22,1932-05-07,Aurillac,https://fr.wikipedia.org/wiki/Paul_Doumer,1931-06-13,1932-05-07,"Joseph Athanase Doumer, dit Paul Doumer, né le 22 mars 1857 à Aurillac (Cantal) et mort assassiné le 7 mai 1932 à Paris (Seine), est un homme d'État français. Il est président de la République du 13 juin 1931 à sa mort."
fr,Q12950,Alain,Poher,1909-04-17,1996-12-09,Ablon-sur-Seine,https://fr.wikipedia.org/wiki/Alain_Poher,1969-04-28,1969-06-20,"Alain Poher, né le 17 avril 1909 à Ablon-sur-Seine (Seine-et-Oise) et mort le 9 décembre 1996 dans le 16earrondissement de Paris, est un homme d'État français. Président du Sénat de 1968 à 1992, il exerce à ce titre les fonctions de président de la République par intérim en 1969 et 1974."
fr,Q158749,Albert,Lebrun,1871-08-29,1950-03-06,Mercy-le-Haut,https://fr.wikipedia.org/wiki/Albert_Lebrun,1932-05-10,1940-07-11,"Albert Lebrun, né le 29 août 1871 à Mercy-le-Haut (alors dans la partie de la Moselle restée française après le traité de Francfort) et mort le 6 mars 1950 à Paris (alors dans le département de la Seine), est un homme d'État français. Il est président de la République française du 10 mai 1932 au 11 juillet 1940 (le dernier de la IIIeRépublique)."
fr,Q158768,René,Coty,1882-03-20,1962-11-22,Le Havre,https://fr.wikipedia.org/wiki/Ren%C3%A9_Coty,1954-01-16,1959-01-08,"René Coty, né le 20 mars 1882 au Havre et mort le 22 novembre 1962 dans la même ville, est un homme d'État français. Il est président de la République du 16 janvier 1954 au 8 janvier 1959."
fr,Q158772,Vincent,Auriol,1884-08-27,1966-01-01,Revel,https://fr.wikipedia.org/wiki/Vincent_Auriol,1947-01-16,1954-01-16,"Vincent Auriol, né le 27 août 1884 à Revel (Haute-Garonne) et mort le 1er janvier 1966 à Paris, est un homme d'État français. Il est président de la République du 16 janvier 1947 au 16 janvier 1954."
fr,Q158838,Patrice,de Mac Mahon,1808-06-13,1893-10-17,Sully,https://fr.wikipedia.org/wiki/Patrice_de_Mac_Mahon,1873-05-24,1879-01-30,"Les informations figurant dans cet article ou cette section doivent être reliées aux sources mentionnées dans les sections «Bibliographie», «Sources» ou «Liens externes» (août 2025)."
fr,Q169502,Émile,Loubet,1838-12-31,1929-12-20,Marsanne,https://fr.wikipedia.org/wiki/%C3%89mile_Loubet,1899-02-18,1906-02-18,"Les informations figurant dans cet article ou cette section doivent être reliées aux sources mentionnées dans les sections «Bibliographie», «Sources» ou «Liens externes» (août 2025)."
fr,Q191974,Raymond,Poincaré,1860-08-20,1934-10-15,Bar-le-Duc,https://fr.wikipedia.org/wiki/Raymond_Poincar%C3%A9,1913-02-18,1920-02-18,"Raymond Poincaré, né le 20 août 1860 à Bar-le-Duc (Meuse) et mort le 15 octobre 1934 à Paris, est un avocat et homme d'État français. Il est le président de la République française du 18 février 1913 au 18 février 1920."
fr,Q215778,Marie,Carnot,1837-08-11,1894-06-25,Limoges,https://fr.wikipedia.org/wiki/Sadi_Carnot_(homme_d%27%C3%89tat),1887-12-03,1894-06-25,"Sadi Carnot, né le 11 août 1837 à Limoges (Haute-Vienne) et mort assassiné le 25 juin 1894 à Lyon (Rhône), est un homme d'État français, président de la République du 3 décembre 1887 à sa mort."
fr,Q274540,Alexandre,Millerand,1859-02-10,1943-04-06,Paris,https://fr.wikipedia.org/wiki/Alexandre_Millerand,1920-09-23,1924-06-11,"Alexandre Millerand, né le 10 février 1859 à Paris et mort le 6 avril 1943 à Versailles, est un homme d'État français. Il est président du Conseil du 20 janvier au 23 septembre 1920, puis président de la République du 23 septembre 1920 au 11 juin 1924."
fr,Q296064,Gaston,Doumergue,1863-08-01,1937-06-18,Aigues-Vives,https://fr.wikipedia.org/wiki/Gaston_Doumergue,1924-06-13,1931-06-13,"Gaston Doumergue, né le 1er août 1863 à Aigues-Vives (Gard) et mort le 18 juin 1937 dans la même ville, est un homme d'État français. Il est président de la République française du 13 juin 1924 au 13 juin 1931."
fr,Q296076,Félix,Faure,1841-01-30,1899-02-16,Paris,https://fr.wikipedia.org/wiki/F%C3%A9lix_Faure,1895-01-17,1899-02-16,"Les informations figurant dans cet article ou cette section doivent être reliées aux sources mentionnées dans les sections «Bibliographie», «Sources» ou «Liens externes» (août 2025)."
fr,Q296083,Jules,Grévy,1807-08-15,1891-09-09,Mont-sous-Vaudrey,https://fr.wikipedia.org/wiki/Jules_Gr%C3%A9vy,1879-01-30,1887-12-02,"Jules Grévy, né le 15 août 1807 à Mont-sous-Vaudrey (Jura) et mort le 9 septembre 1891 dans la même commune, est un homme d'État français, président de la République du 30 janvier 1879 au 2 décembre 1887."
fr,Q296673,Clément,Fallières,1841-11-06,1931-06-22,Mézin,https://fr.wikipedia.org/wiki/Armand_Falli%C3%A8res,1906-02-18,1913-02-18,"Les informations figurant dans cet article ou cette section doivent être reliées aux sources mentionnées dans les sections «Bibliographie», «Sources» ou «Liens externes» (août 2025)."
fr,Q309995,Paul,Deschanel,1855-02-13,1922-04-28,Schaerbeek - Schaarbeek,https://fr.wikipedia.org/wiki/Paul_Deschanel,1920-02-18,1920-09-21,"Paul Deschanel, né le 13 février 1855 à Schaerbeek (Belgique) et mort le 28 avril 1922 à Paris (France), est un homme d'État, journaliste et écrivain français, président de la République du 18 février au 21 septembre 1920."
